"No.","Time","Source","Destination","Protocol","Length","Info"
"8564","99.967552337","RealtekU_12:35:02","Broadcast","ARP","60","Who has 166.0.189.107? Tell 10.0.2.2"
"8565","99.967961313","238.41.172.204","192.168.1.107","TCP","174","6291  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8566","99.968291205","189.221.167.33","192.168.1.107","TCP","174","6292  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8567","99.968751573","RealtekU_12:35:02","Broadcast","ARP","60","Who has 189.221.167.33? Tell 10.0.2.2"
"8568","100.000309694","165.10.51.222","192.168.1.107","TCP","174","6293  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8569","100.000843658","RealtekU_12:35:02","Broadcast","ARP","60","Who has 165.10.51.222? Tell 10.0.2.2"
"8570","100.029220360","230.70.121.222","192.168.1.107","TCP","174","6294  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8571","100.029576455","49.136.184.129","192.168.1.107","TCP","174","6295  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8572","100.029846110","RealtekU_12:35:02","Broadcast","ARP","60","Who has 49.136.184.129? Tell 10.0.2.2"
"8573","100.030278779","71.72.206.33","192.168.1.107","TCP","174","6296  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8574","100.030559382","RealtekU_12:35:02","Broadcast","ARP","60","Who has 71.72.206.33? Tell 10.0.2.2"
"8575","100.030953464","224.178.13.198","192.168.1.107","TCP","174","6297  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8576","100.031244353","86.202.222.74","192.168.1.107","TCP","174","6298  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8577","100.031555268","RealtekU_12:35:02","Broadcast","ARP","60","Who has 86.202.222.74? Tell 10.0.2.2"
"8578","100.031964787","162.39.107.202","192.168.1.107","TCP","174","6299  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8579","100.032252255","RealtekU_12:35:02","Broadcast","ARP","60","Who has 162.39.107.202? Tell 10.0.2.2"
"8580","100.110713727","39.20.211.48","192.168.1.107","TCP","174","6300  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8581","100.111057425","RealtekU_12:35:02","Broadcast","ARP","60","Who has 39.20.211.48? Tell 10.0.2.2"
"8582","100.111461846","242.199.218.206","192.168.1.107","TCP","174","6301  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8583","100.111792356","158.148.84.115","192.168.1.107","TCP","174","6302  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8584","100.112184778","RealtekU_12:35:02","Broadcast","ARP","60","Who has 158.148.84.115? Tell 10.0.2.2"
"8585","100.132397217","40.213.241.138","192.168.1.107","TCP","174","6303  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8586","100.133105305","RealtekU_12:35:02","Broadcast","ARP","60","Who has 40.213.241.138? Tell 10.0.2.2"
"8587","100.135773291","50.221.39.138","192.168.1.107","TCP","174","6304  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8588","100.136302846","RealtekU_12:35:02","Broadcast","ARP","60","Who has 50.221.39.138? Tell 10.0.2.2"
"8589","100.138956121","209.117.49.162","192.168.1.107","TCP","174","6305  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8590","100.139564776","RealtekU_12:35:02","Broadcast","ARP","60","Who has 209.117.49.162? Tell 10.0.2.2"
"8591","100.143172140","88.4.228.189","192.168.1.107","TCP","174","6306  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8592","100.144046278","RealtekU_12:35:02","Broadcast","ARP","60","Who has 88.4.228.189? Tell 10.0.2.2"
"8593","100.152379792","30.253.82.103","192.168.1.107","TCP","174","6307  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8594","100.153146476","RealtekU_12:35:02","Broadcast","ARP","60","Who has 30.253.82.103? Tell 10.0.2.2"
"8595","100.155608995","21.35.49.132","192.168.1.107","TCP","174","6308  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8596","100.157585798","RealtekU_12:35:02","Broadcast","ARP","60","Who has 21.35.49.132? Tell 10.0.2.2"
"8597","100.172323566","117.129.176.204","192.168.1.107","TCP","174","6309  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8598","100.173927871","RealtekU_12:35:02","Broadcast","ARP","60","Who has 117.129.176.204? Tell 10.0.2.2"
"8599","100.175565568","254.247.31.136","192.168.1.107","TCP","174","6310  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8600","100.177864877","236.253.213.209","192.168.1.107","TCP","174","6311  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8601","100.178681316","204.209.122.157","192.168.1.107","TCP","174","6312  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8602","100.179501094","RealtekU_12:35:02","Broadcast","ARP","60","Who has 204.209.122.157? Tell 10.0.2.2"
"8603","100.255335881","247.213.122.190","192.168.1.107","TCP","174","6313  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8604","100.259262222","160.198.48.41","192.168.1.107","TCP","174","6314  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8605","100.259886764","RealtekU_12:35:02","Broadcast","ARP","60","Who has 160.198.48.41? Tell 10.0.2.2"
"8606","100.267716414","150.221.243.58","192.168.1.107","TCP","174","6315  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8607","100.268389308","RealtekU_12:35:02","Broadcast","ARP","60","Who has 150.221.243.58? Tell 10.0.2.2"
"8608","100.291819674","35.118.199.176","192.168.1.107","TCP","174","6316  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8609","100.293377602","RealtekU_12:35:02","Broadcast","ARP","60","Who has 35.118.199.176? Tell 10.0.2.2"
"8610","100.304473978","178.51.158.112","192.168.1.107","TCP","174","6317  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8611","100.305078027","RealtekU_12:35:02","Broadcast","ARP","60","Who has 178.51.158.112? Tell 10.0.2.2"
"8612","100.346681696","27.118.224.201","192.168.1.107","TCP","174","6318  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8613","100.348410885","RealtekU_12:35:02","Broadcast","ARP","60","Who has 27.118.224.201? Tell 10.0.2.2"
